,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata
2019-05-04 11:30:00,3.34645,64.058,2.05589059598,0.0
2019-05-04 11:45:00,3.34645,64.274,2.06062991327,0.0
2019-05-04 12:00:00,3.30708,64.31,2.05589059598,0.0
2019-05-04 12:15:00,3.30708,64.274,2.05116217883,0.0
2019-05-04 12:30:00,3.26771,64.4,2.05116217883,0.0
2019-05-04 12:45:00,3.30708,64.418,2.05589059598,0.0
2019-05-04 13:00:00,3.30708,64.634,2.05589059598,0.0
2019-05-04 13:15:00,3.34645,64.886,2.06062991327,0.0
2019-05-04 13:30:00,3.34645,65.102,2.06062991327,0.0
2019-05-04 13:45:00,3.34645,65.264,2.06062991327,0.0
2019-05-04 14:00:00,3.30708,65.354,2.06062991327,0.0
2019-05-04 14:15:00,3.30708,65.48,2.05589059598,0.0
2019-05-04 14:30:00,3.34645,65.498,2.06062991327,0.0
2019-05-04 14:45:00,3.34645,65.66,2.06538015581,0.0
2019-05-04 15:00:00,3.34645,65.732,2.07014134879,0.0
2019-05-04 15:15:00,3.34645,65.894,2.06538015581,0.0
2019-05-04 15:30:00,3.34645,66.02,2.06538015581,0.0
2019-05-04 15:45:00,3.34645,66.02,2.07014134879,0.0
2019-05-04 16:00:00,3.34645,66.02,2.07014134879,0.0
2019-05-04 16:15:00,3.34645,66.02,2.07014134879,0.0
2019-05-04 16:30:00,3.38582,66.02,2.07014134879,0.0
2019-05-04 16:45:00,3.34645,66.056,2.07491351745,0.0
2019-05-04 17:00:00,3.30708,66.056,2.07014134879,0.0
2019-05-04 17:15:00,3.30708,66.02,2.07014134879,0.0
2019-05-04 17:30:00,3.34645,66.02,2.07014134879,0.0
2019-05-04 17:45:00,3.30708,65.948,2.07014134879,0.0
2019-05-04 18:00:00,3.34645,65.84,2.07491351745,0.0
2019-05-04 18:15:00,3.34645,65.75,2.0844908831,0.0
2019-05-04 18:30:00,3.30708,65.624,2.08929613085,0.0
2019-05-04 18:45:00,3.26771,65.408,2.08929613085,0.0
2019-05-04 19:00:00,3.30708,65.174,2.08929613085,0.0
2019-05-04 19:15:00,3.26771,64.958,2.09893988362,0.0
2019-05-04 19:30:00,3.26771,64.778,2.10377843977,0.0
2019-05-04 19:45:00,3.26771,64.598,2.10377843977,0.0
2019-05-04 20:00:00,3.26771,64.454,2.11348903984,0.0
2019-05-04 20:15:00,3.26771,64.31,2.11348903984,0.0
2019-05-04 20:30:00,3.26771,64.13,2.12813904598,0.0
2019-05-04 20:45:00,3.46456,64.04,2.13304491315,0.0
2019-05-04 21:00:00,3.62204,64.346,2.05589059598,0.0
2019-05-04 21:15:00,3.34645,64.544,1.92309172891,0.0
2019-05-04 21:30:00,3.26771,64.166,1.87068214037,0.0
2019-05-04 21:45:00,3.62204,63.914,1.89234361864,0.0
2019-05-04 22:00:00,3.70078,64.508,1.74984668862,0.0
2019-05-04 22:15:00,3.70078,64.634,1.5885467486,0.0
2019-05-04 22:30:00,3.74015,64.814,1.51705036746,0.0
2019-05-04 22:45:00,3.62204,64.886,1.46217717446,0.0
2019-05-04 23:00:00,3.30708,64.49,1.43218789927,0.0
2019-05-04 23:15:00,3.26771,63.914,1.5885467486,0.0
2019-05-04 23:30:00,3.58267,63.662,1.76197604641,0.0
2019-05-04 23:45:00,3.77952,64.346,1.68655302539,0.0
2019-05-05 00:00:00,3.38582,64.508,1.55955250283,0.0
2019-05-05 00:15:00,3.30708,64.166,1.5381546403,0.0
2019-05-05 00:30:00,3.26771,63.806,1.62929603264,0.0
2019-05-05 00:45:00,3.26771,63.518,1.73380399775,0.0
2019-05-05 01:00:00,3.18897,63.266,1.81551566277,0.0
2019-05-05 01:15:00,3.22834,63.104,1.86208713666,0.0
2019-05-05 01:30:00,3.22834,62.96,1.89670592121,0.0
